"共有商品 46 樣，熱賣 8，圖片 46，討論 13，價格異動 1

Celeron DC-E3400雙核，2.6GHz/1M/800/45奈米, $1350 ★

INTEL第二代Celeron G530雙核2.4GHZ/65W/2M cache, $1330 ★
INTEL第二代Celeron G540雙核2.5GHZ/65W/2M cache, $1630 ★
Intel 第二代Pentium G620雙核 2.6GHz/65W/32nm/3M cache, $1870 ◆ ★ 熱賣
Intel 第二代Pentium G840雙核 2.8GHz/65W/32nm/3M cache, $2290 ◆ ★ 熱賣
Intel 第二代Pentium G850雙核 2.9GHz/65W/32nm/3M cache, $2470 ◆ ★
Intel 第二代Pentium G860雙核 3.0GHz/65W/32nm/3M cache, $2820 ◆ ★
Intel 第二代Core I3-2100雙核 3.1GHz/65W/32nm/3M cache, $3530 ◆ ★
Intel 第二代Core I3-2120雙核 3.3GHz/65W/32nm/3M cache, $3720 ◆ ★
Intel 第二代Core I3-2125雙核 3.3GHz/65W/32nm/3M cache/HD3000 GPU, $4330 ★
Intel 第二代Core I3-2130雙核 3.4GHz/65W/32nm/3M cache, $4380 ★
Intel 第二代Core I5-2400四核 3.1GHz(Turbo 3.4GHz)/HD2000 GPU, $5830↘$5780 ◆ ★
Intel 第二代Core I5-2500四核 3.3GHz(Turbo 3.7GHz)/HD2000 GPU, $6470 ◆ ★
Intel 第二代Core I5-2500K四核 3.3GHz(Turbo 3.7GHz)/HD3000 GPU, $6750 ◆ ★
Intel 第二代Core I7-2600四核 3.4GHz(Turbo 3.8GHz)/HD2000 GPU, $9300 ◆ ★
Intel 第二代Core I7-2600K四核 3.4GHz(Turbo 3.8GHz)/HD3000 GPU, $9880 ◆ ★
Intel 第二代Core I7-2700K四核 3.5GHz(Turbo 3.9GHz)/HD3000 GPU, $10900 ★

Intel Core I7-3820 四核 3.6GHz(Turbo 3.8GHz)/32nm/L3 10Mb, $9950 ★
Intel Core I7-3930K 六核 3.2GHz(Turbo 3.8GHz)/32nm/L3 12Mb, $18300 ◆ ★
Intel Core I7-3960X 六核 3.3GHz(Turbo 3.9GHz)/32nm/L3 15Mb, $32700 ◆ ★

AMD AM3 Sempron 145/2.8G/45W/45nm/L2 Cache 1MB, $1040 ★
AMD AM3 AthlonII X2-240雙核/2.8G/65W/45nm/L2 Cache 1MB*2, $1720 ★
AMD AM3 AthlonII X2-250雙核/3.0G/65W/45nm/L2 Cache 1MB*2, $1750 ★
AMD AM3 AthlonII X2-260雙核/3.2G/65W/45nm/L2 Cache 1MB*2, $1820 ★
AMD AM3 AthlonII X3-450三核/3.2G/95W/45nm/L2 Cache 512KB*3, $1950 ★ 熱賣
AMD AM3 AthlonII X3-455三核/3.3G/95W/45nm/L2 Cache 512KB*3, $2150 ★
AMD AM3 AthlonII X3-405E(散裝含風扇)三核/2.3G/45W/45nm/L2 Cache 512KB*3, $1680 ★
AMD AM3 AthlonII X3-415E(散裝含風扇)三核/2.5G/45W/45nm/L2 Cache 512KB*3, $1800 ★
AMD AM3 AthlonII X4-605E(散裝含風扇)/2.3G/45W/512KB*4(C3版)代理商公司貨, $2950 ★
AMD AM3 PhenomII 四核X4-965黑盒/3.4G/125W/45nm/L2+L3=8MB(C3版), $3250 ★

AMD Bulldozer FX-4100四核 /3.6G(Turbo 3.8GHz)/95W 推土機, $3150 ★
AMD Bulldozer FX-6100六核 /3.3G(Turbo 3.9GHz)/95W 推土機, $4000 ★ 熱賣
AMD Bulldozer FX-8120八核 /3.1G(Turbo 4GHz)/125W 推土機, $6000 ★
AMD Bulldozer FX-8150八核 /3.6G(Turbo 4.2GHz)/125W 推土機, $7100 ★
AMD Bulldozer FX-8150精裝版(附原廠水冷式風扇) /3.6G(Turbo 4.2GHz)/125W 推土機, $11500 ★

AMD X4-638 四核心 2.7GHz 無內建顯示(B0版), $2250 ★
AMD X4-641 四核心 2.8GHz 無內建顯示(B0版), $2250 ★ 熱賣
AMD X4-641 合購 技嘉 A55-DS3P, $4190 ★ 熱賣
AMD X4-651K(超頻版) 四核心 3.0GHz 無內建顯示, $2430 ★
AMD A4-3300 雙核心 2.5GHz+HD6410, $1560 ★
AMD A4-3400 雙核心 2.7GHz+HD6410, $1750 ★
AMD A6-3500 三核心 2.1GHz+HD6530, $2050 ★ 熱賣
AMD A6-3650 四核心 2.6GHz+HD6530, $3000 ★ 熱賣
AMD A6-3670K 四核心 2.7GHz+HD6530/不鎖倍頻, $3200 ★
AMD A8-3850 四核心 2.9GHz+HD6550, $3600 ★
AMD A8-3870K 四核心 3GHz+HD6550/不鎖倍頻, $3800 ★



篩選條件：清除


廠牌：

Intel
AMD
腳座：

775
1366
1155

AM3
AM3+
FM1




12345678910"
