"共有商品 69 樣，熱賣 32 樣，價格異動 54 樣

Celeron DC-E3400雙核心，2.6GHz/1M/800/45奈米, $1410↘$1380 ★ 熱賣
Intel 第二代Core I5-2300 2.8GHz(Turbo 3.1GHz)/HD2000 GPU~搭機價~, $5450 ★ 熱賣
Intel 第二代Core I5-2400 3.1GHz(Turbo 3.4GHz)/HD2000 GPU, $5800 ★ 熱賣
Intel 第二代Core I5-2400 3.1GHz(Turbo 3.4GHz)/HD2000 GPU~搭機價~, $5650 ★ 熱賣
Intel 第二代Core I5-2500 3.3GHz(Turbo 3.7GHz)/HD2000 GPU, $6500 ★ 熱賣
Intel 第二代Core I5-2500 3.3GHz(Turbo 3.7GHz)/HD2000 GPU~搭機價~, $6300 ★ 熱賣
Intel 第二代Core I5-2500K 3.3GHz(Turbo 3.7GHz)/HD3000 GPU, $6950 ★ 熱賣
Intel 第二代Core I5-2500K 3.3GHz(Turbo 3.7GHz)/HD3000 GPU~搭機價~, $6850 ★ 熱賣
Intel 第二代Core I7-2600 3.4GHz(Turbo 3.8GHz)/HD2000 GPU, $9350 ★ 熱賣
Intel 第二代Core I7-2600 3.4GHz(Turbo 3.8GHz)/HD2000 GPU~搭機價~, $9100 ★ 熱賣
Intel 第二代Core I7-2600K 3.4GHz(Turbo 3.8GHz)/HD3000 GPU, $10100 ★ 熱賣
Intel 第二代Core I7-2600K 3.4GHz(Turbo 3.8GHz)/HD3000 GPU~搭機價~, $9900 ★ 熱賣

AMD AM3 AthlonII X2-250/3.0G/65W/45nm/L2 Cache 1MB*2, $1665↗$1720 ★ 熱賣
AMD AM3 AthlonII X2-250/3.0G/65W/45nm/L2 Cache 1MB*2 ~搭機價~, $1630↘$1600 ★ 熱賣
AMD AM3 AthlonII X2-255/3.1G/65W/45nm/L2 Cache 1MB*2, $1765↘$1750 ★
AMD AM3 AthlonII X2-255/3.1G/65W/45nm/L2 Cache 1MB*2 ~搭機價~, $1730↘$1650 ★
AMD AM3 AthlonII X2-260/3.2G/65W/45nm/L2 Cache 1MB*2, $1920↗$1940 ★
AMD AM3 AthlonII X2-260/3.2G/65W/45nm/L2 Cache 1MB*2 ~搭機價~, $1880↘$1800 ★
AMD AM3 AthlonII X2-265/3.3G/65W/45nm/L2 Cache 1MB*2, $2095↘$2050 ★
AMD AM3 AthlonII X2-265/3.3G/65W/45nm/L2 Cache 1MB*2 ~搭機價~, $2050↘$2000 ★
AMD AM3 AthlonII X3-445/3.1G/95W/45nm/L2 Cache 512KB*3, $2125↘$2080 ★ 熱賣
AMD AM3 AthlonII X3-445/3.1G/95W/45nm/L2 Cache 512KB*3 ~搭機價~, $2080↘$2000 ★ 熱賣
AMD AM3 AthlonII X3-450/3.2G/95W/45nm/L2 Cache 512KB*3, $2295↘$2250 ★
AMD AM3 AthlonII X3-450/3.2G/95W/45nm/L2 Cache 512KB*3 ~搭機價~, $2250↘$2200 ★
AMD AM3 AthlonII X3-455/3.3G/95W/45nm/L2 Cache 512KB*3, $2705↘$2600 ★
AMD AM3 AthlonII X3-455/3.3G/95W/45nm/L2 Cache 512KB*3 ~搭機價~, $2650↘$2550 ★
AMD AM3 AthlonII X4-620散裝+FAN/2.6G/95W/45nm/L2 Cache 512KB*4, $2705↘$2600 ★
AMD AM3 AthlonII X4-640/3.0G/95W/45nm/L2 Cache 512KB*4(C3版), $2960↘$2900 ★ 熱賣
AMD AM3 AthlonII X4-640/3.0G/95W/45nm/L2 Cache 512KB*4 ~搭機價~, $2900↘$2800 ★ 熱賣
AMD AM3 AthlonII X4-645/3.1G/95W/45nm/L2 Cache 512KB*4(C3版), $3345↘$3300 ★
AMD AM3 AthlonII X4-645/3.1G/95W/45nm/L2 Cache 512KB*4 ~搭機價~, $3280↘$3250 ★
AMD AM3 PhenomII 四核X4-905E散裝+FAN/2.5G/65W ~唯一四核低功粍~, $3450 ★ 熱賣
AMD AM3 PhenomII 四核X4-905E散裝+FAN/2.5G/65W/45nm ~搭機價~, $3300 ★ 熱賣
AMD AM3 PhenomII 四核X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB(C3版), $4390↘$4230 ★
AMD AM3 PhenomII 四核X4-955黑盒/3.2G/125W/45nm/L2+L3=8MB ~搭機價~, $4300↘$4100 ★
AMD AM3 PhenomII 四核X4-965黑盒/3.4G/125W/45nm/L2+L3=8MB(C3版), $4900↘$4800 ★
AMD AM3 PhenomII 四核X4-965黑盒/3.4G/125W/45nm/L2+L3=8MB ~搭機價~, $4800↘$4650 ★
AMD AM3 PhenomII 四核X4-970黑盒/3.5G/125W/45nm/L2+L3=8MB(C3版), $5920↘$5350 ★
AMD AM3 PhenomII 四核X4-970黑盒/3.5G/125W/45nm/L2+L3=8MB ~搭機價~, $5800↘$5250 ★
AMD AM3 Phenom II六核X6-1055T盒裝/2.8G(Turbo 3.3GHz)/L2+L3=9MB , $5490↘$5350 ★ 熱賣
AMD AM3 Phenom II六核X6-1055T盒裝/2.8G(Turbo 3.3GHz)  ~搭機價~, $5380↘$5150 ★ 熱賣
AMD AM3 Phenom II六核X6-1075T盒裝/3.0G(Turbo 3.5GHz)/L2+L3=9MB , $5895↘$5850 ★
AMD AM3 Phenom II六核X6-1075T盒裝/3.0G(Turbo 3.5GHz) ~搭機價~, $5780↘$5650 ★
AMD AM3 Phenom II六核X6-1090T黑盒裝/3.2G(Turbo 3.6GHz)/L2+L3=9MB , $7090↘$6900 ★
AMD AM3 Phenom II六核X6-1090T黑盒裝/3.2G(Turbo 3.6GHz)  ~搭機價~, $6950↘$6700 ★
AMD AM3 Phenom II六核X6-1100T黑盒裝/3.3G(Turbo 3.7GHz)/L2+L3=9MB , $8670↘$7900 ★
AMD AM3 Phenom II六核X6-1100T黑盒裝/3.3G(Turbo 3.7GHz)  ~搭機價~, $8500↘$7700 ★



12345678910"
