"共有商品 50 樣，熱賣 10，圖片 50，討論 13，價格異動 20

Celeron DC-E3400雙核，2.6GHz/1M/800/45奈米, $1320 ★
AMD AM3 AthlonII X4-645四核/3.1G/95W/45nm/L2 Cache 512KB*4(C3版), $3290 ★
AMD AM3 PhenomII 四核X4-960T黑盒/3.0G-3.4G/95W/45nm/(E0版), $3590↘$3399 ★ 熱賣
AMD AM3 PhenomII 四核X4-970黑盒/3.5G/125W/45nm/L2+L3=8MB(C3版), $4450 ★
AMD AM3 PhenomII 四核X4-975黑盒/3.6G/125W/45nm/L2+L3=8MB(C3版), $4900↘$4790 ★
AMD AM3 PhenomII 四核X4-980黑盒/3.7G/125W/45nm/L2+L3=8MB(C3版), $5300 ★

AMD Bulldozer FX-4100四核 /3.6G(Turbo 3.8GHz)/95W 推土機, $3300↘$3249 ★
AMD Bulldozer FX-6100六核 /3.3G(Turbo 3.9GHz)/95W 推土機, $4750↘$4399 ★ 熱賣
AMD Bulldozer FX-8120八核 /3.1G(Turbo 4GHz)/125W 推土機, $6590↘$6490 ★
AMD Bulldozer FX-8150八核 /3.6G(Turbo 4.2GHz)/125W 推土機, $8020↘$7878 ★

AMD X4-631 四核心 2.6GHz 無內建顯示(搭華擎A75折300 A55折200), $2299 ★
AMD X4-651 四核心 3.0GHz 無內建顯示(搭華擎A75折300 A55折200), $2790 ★
AMD A4-3300 雙核心 2.5GHz+HD6410(搭華擎A75折300 A55折200), $1599 ★
AMD A4-3400 雙核心 2.7GHz+HD6410(搭華擎A75折300 A55折200), $1799 ★
AMD A6-3500 三核心 2.1GHz+HD6530(搭華擎A75折300 A55折200), $2490 ★
AMD A6-3650 四核心 2.6GHz+HD6530(搭華擎A75折300 A55折200), $3380 ★
AMD A6-3670K 四核心 2.7GHz+HD6530/不鎖倍頻(搭華擎A75折300 A55折200), $3490 ★
AMD A8-3850 四核心 2.9GHz+HD6550(搭華擎A75折300 A55折200), $3950 ★
AMD A8-3870K 四核心 3GHz+HD6550/不鎖倍頻(搭華擎A75折300 A55折200), $4150 ★



篩選條件：清除


廠牌：

Intel
AMD
腳座：

775
1366
1155

AM3
AM3+
FM1




12345678910"
